Symbol,Name,Current Price,Market Cap (mil),RS Rating,Comp Rating,EPS Rating,SMR Rating,A/D Rating,Quality Score,% Chg 3 Months,% Chg 6 Months,% Chg 12 Months,Sector,ROE
EFOR,Everforth Inc.,32.76,1350.1,54,47,24,NA,NA,35.05,71.7,-8.2,-36.1,BUSINS SVC,6.3
COAG,Hemab Therapeutics Holdings Inc.,41.19,1925.5,80,36,5,NA,NA,35,40.9,0,0,MEDICAL,0
ATMU,Atmus Filtration Technologies Inc.,43.89,3607.3,22,41,71,NA,NA,34.95,-15.3,-22.6,-5.5,AUTO,68.5
DHLGY,DHL AG ADR,32.04,72634.3,79,40,1,NA,NA,34.95,7.7,24.6,42.7,TRANSPORTATION,15.6
OBICY,Obic Co. Ltd. ADR,16.03,14023.6,76,43,1,NA,NA,34.95,33.1,26.8,-13.7,SOFTWARE,0
REZI,Resideo Technologies Inc.,18.37,2812.2,15,36,86,NA,NA,34.95,-17.2,-21.4,-36.2,BUSINS SVC,-16.9
TCOM,Trip.com Group Ltd. ADR,40.68,26229.6,14,41,81,NA,NA,34.95,-9.8,-21.7,-47.9,LEISURE,21.1
BBAR,Banco BBVA Argentina S.A. ADR,14.25,3171.1,35,43,52,NA,NA,34.9,-34.9,9.4,71.5,BANKS,8.2
DBI,Designer Brands Inc.,6.02,310.8,60,34,32,NA,NA,34.9,-4.7,11.5,39,RETAIL,-3
NLY,Annaly Capital Management Inc.,21.05,16061.7,36,46,47,NA,NA,34.9,-5.2,-4,-3,REAL EST,14.1
OBDC,Blue Owl Capital Corp.,11.17,5597.2,41,53,32,NA,NA,34.9,2.8,-2,-19.3,FINANCE,9.4
CHH,Choice Hotels International Inc.,96.85,4439.7,33,40,58,NA,NA,34.85,-15.8,-0.5,-11.8,LEISURE,541.6
GFS,GlobalFoundries Inc.,47.82,25154.8,43,42,43,NA,NA,34.85,-44.3,12.6,43.7,CHIPS,7.8
JJSF,J&J Snack Foods Corp.,77.97,1473.2,39,34,58,NA,NA,34.85,4.5,3.3,-24,FOOD/BEV,6.8
ALX,Alexander's Inc.,247.15,1264.2,52,44,29,NA,NA,34.8,-4.7,1.1,4.6,REAL EST,19.7
BBIO,BridgeBio Pharma Inc.,66.61,13158.6,51,41,34,NA,NA,34.8,0.5,-5,24.9,MEDICAL,0
JD,JD.com Inc. ADR,26.92,36474.3,32,40,59,NA,NA,34.8,-2.4,-4.5,-23.9,RETAIL,8.4
XPRO,Expro Ltd.,16.46,1842.5,70,38,14,NA,NA,34.8,19.1,-0.1,33.3,ENERGY,3.4
GXO,GXO Logistics Inc.,45.92,5342,29,38,65,NA,NA,34.75,-5.6,-13.7,-10.2,TRANSPORTATION,1.1
FVR,FrontView REIT Inc.,17.37,523.4,52,38,36,NA,NA,34.7,-11.3,8,27.8,REAL EST,-1.1
HCM,HUTCHMED (China) Ltd. ADR,13.67,2423.9,62,52,6,NA,NA,34.7,33,-2.9,-21.7,MEDICAL,45.9
Q,Qnity Electronics Inc.,120.05,24504.6,49,41,36,NA,NA,34.7,-29,5.3,0,CHIPS,7.8
CSGP,CoStar Group Inc.,29.09,11870.3,13,43,78,NA,NA,34.6,-3.4,-32.5,-67.4,BUSINS SVC,0.1
INMD,InMode Ltd.,14.35,835.8,57,39,28,NA,NA,34.6,7.1,6.7,-5.4,MEDICAL,13.5
REAL,RealReal Inc.,9.45,1151,22,38,73,NA,NA,34.6,-24.1,0.1,-11.8,RETAIL,0
ARHS,Arhaus Inc.,7.79,1075.9,48,47,29,NA,NA,34.55,7.3,9.4,-31,RETAIL,17.7
